ID,commune,facility,coordinates,services,Capacity
159,Beni Messous,Polyclinic Sidi Youcef,"36.78603990646601, 2.966807448614976","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",49
160,Beni Messous,Centre Hospialo-Universitaire Beni Messous,"36.78204054697865, 2.980640895123478","""General Emergency,Pediatric Emergency,Burn Center""",31
161,Beni Messous,Polyclinique Houari Boumediene Beni Messous,"36.78304004928664, 2.96539602229203","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",33
162,Beni Messous,Polyclinic Djamel Boukanoune,"36.78586575267628, 2.966838501341541","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",44
179,Birtouta,Maloum Youcef Children's hospital,"36.63097129505434, 2.946103270373261","""Pediatric Emergency""",26
180,Tessala El Merdja,Polyclinique TESSALA EL MERDJA,"36.636609, 2.945507","""General Emergency,Gynecology Emergency,Pediatric Emergency""",40
181,Tessala El Merdja,Dispensaire Tessala el Merdja,"36.63644087964782, 2.9456553969796175","""Infectious Disease Emergency,Renadial Hemodialysis,IOrthopedic Emergencies,Trauma center,Ophtalmology Emergency,Cardiac Emergency,Medical-Surgical Emergency,Neurological Emergency,respiratory emergencies""",30
182,Tessala El Merdja,Farhi Dental Clinic,"36.630734647796395, 2.9456285846191403","""Dental Emergency""",48
183,Tessala El Merdja,El khayer Djaber Centre de sante,"36.6356945770477, 2.9426916513068178","""General Emergency,Pediatric Emergency,Burn Center""",29
238,Ain Benian,Polyclinique Ain Benian,"36.80469920596967, 2.9120174430062438","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",41
239,Ain Benian,Dispensaire Polyclinique Ain Benian,"36.80113205734672, 2.9222751582040374","""Neurological Emergency,General Emergency,Dental Emergency,,Ophtalmology Emergency,Gynecology Emergency""",26
240,Ain Benian,Clinique de diagnostic medical Lalla Khedidja,"36.79255501550524, 2.9055981688266552","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",20
241,Ain Benian,Clinique saha plus,"36.81348908406044, 2.9783186001387927",Cardiologue Diabetologue Endocrinologue Radiologue S̩nologue,17
242,Ain Benian,Hopital Ain Benian 1,"36.812691466726434, 2.9791151169754206","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",97
243,Ain Benian,Hospital Ain Benian 2,"36.79628246741233, 2.9027917190876793","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",77
244,Ain Benian,Dispensaire Plateau,"36.792711109128575, 2.940783040807141","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",27
245,Ain Benian,Clinique Massinissa,"36.802223144121044, 2.905865998064101","""General Emergency,Pediatric Emergency,Burn Center""",39
246,Ain Benian,Polyclinic L'ilot,"36.80380673727584, 2.9118150672249654","""General Emergency,Pediatric Emergency,Burn Center""",36
247,Ain Benian,Polyclinique belle vue,"36.79111489670954, 2.911504063333077","""Pediatric Emergency""",37
250,Bologhine,EPH D'IBN ZIRI DE BOLOGHINE,"36.81076802756216, 2.97883018465516","""General Emergency""",70
