ID,commune,facility,coordinates,services _ capacity,Unnamed: 5,Capacity
182,Tessala El Merdja,Polyclinique TESSALA EL MERDJA,"36.636609, 2.945507","""General Emergency,Gynecology Emergency,Pediatric Emergency""",,92
183,Tessala El Merdja,Dispensaire Tessala el Merdja,"36.63644087964782, 2.9456553969796175","""Infectious Disease Emergency,Renadial Hemodialysis,IOrthopedic Emergencies,Trauma center,Ophtalmology Emergency,Cardiac Emergency,Medical-Surgical Emergency,Neurological Emergency,respiratory emergencies""",,56
184,Tessala El Merdja,Farhi Dental Clinic,"36.630734647796395, 2.9456285846191403","""Dental Emergency""",,48
185,Tessala El Merdja,El khayer Djaber Centre de sante,"36.6356945770477, 2.9426916513068178","""General Emergency,Pediatric Emergency,Burn Center""",,29
241,Ain Benian,Polyclinique Ain Benian,"36.80469920596967, 2.9120174430062438","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",,41
242,Ain Benian,Dispensaire Polyclinique Ain Benian,"36.80113205734672, 2.9222751582040374","""Neurological Emergency,General Emergency,Dental Emergency,,Ophtalmology Emergency,Gynecology Emergency""",,26
243,Ain Benian,Clinique de diagnostic m̩dical Lalla Khedidja,"36.79255501550524, 2.9055981688266552","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",,92
244,Ain Benian,Clinique saha plus,"36.81348908406044, 2.9783186001387927",Cardiologue Diabetologue Endocrinologue Radiologue S̩nologue,,87
245,Ain Benian,Hopital Ain Benian,"36.812691466726434, 2.9791151169754206","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",,48
246,Ain Benian,Hospital Ain Benian,"36.79628246741233, 2.9027917190876793","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",,77
247,Ain Benian,Dispensaire Plateau,"36.792711109128575, 2.940783040807141","""General Emergency,Gynecology Emergency,ORL,Gastrointestinal Emergency,Medical-Surgical Emergency""",,27
248,Ain Benian,Clinique Massinissa,"36.802223144121044, 2.905865998064101","""General Emergency,Pediatric Emergency,Burn Center""",,39
249,Ain Benian,Polyclinic L'ilot,"36.80380673727584, 2.9118150672249654","""General Emergency,Pediatric Emergency,Burn Center""",,36
250,Ain Benian,Polyclinique belle vue,"36.79111489670954, 2.911504063333077","""Pediatric Emergency""",,37
253,Bologhine,EPH D'IBN ZIRI DE BOLOGHINE,"36.81076802756216, 2.97883018465516","""General Emergency""",,39
